TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2016,2,29,17,36,29XX CAMBIE ST,mountpleasant,491635.76,5456278.39
Theft from Vehicle,2016,8,12,17,0,E 10TH AVE / ST GEORGE ST,mountpleasant,493232.19,5456531.95
Other Theft,2016,7,3,16,12,7XX GRANVILLE ST,downtown,491295.24,5458744.77
Theft from Vehicle,2016,6,7,3,39,1XX W CORDOVA ST,downtown,492222.88,5458911.79
Break and Enter Residential/Other,2016,2,20,15,0,17XX CEDAR CRES,shaughnessy,489421.45,5455953.41
Theft from Vehicle,2016,7,7,1,8,1XX W CORDOVA ST,downtown,492222.88,5458911.79
Break and Enter Residential/Other,2016,7,14,15,30,17XX CEDAR CRES,shaughnessy,489421.45,5455953.41
Break and Enter Residential/Other,2016,4,17,1,10,17XX CHARLES ST,grandviewwoodland,494966.46,5457806.38
Theft from Vehicle,2016,1,18,16,0,6XX E 56TH AVE,sunset,493289.49,5451825.83
Theft from Vehicle,2016,4,25,20,30,6XX E 56TH AVE,sunset,493255.65,5451826.91
Theft from Vehicle,2016,8,27,17,0,1XX W CORDOVA ST,downtown,492222.88,5458911.79
Break and Enter Commercial,2016,6,14,3,52,28XX W BROADWAY AVE,kitsilano,487748.26,5456822.26
Break and Enter Commercial,2016,5,1,4,25,28XX W BROADWAY AVE,kitsilano,487748.26,5456822.26
Break and Enter Residential/Other,2016,4,10,16,45,17XX CHARLES ST,grandviewwoodland,495008.42,5457815.13
Theft from Vehicle,2016,12,8,0,0,6XX E 53RD AVE,sunset,493262.03,5452109.12
Theft from Vehicle,2016,11,28,3,46,1XX W CORDOVA ST,downtown,492222.88,5458911.79
Theft from Vehicle,2016,12,8,0,0,6XX E 49TH AVE,sunset,493293.78,5452530.67
Break and Enter Commercial,2016,6,21,4,21,28XX W BROADWAY AVE,kitsilano,487669.01,5456823.28
Break and Enter Residential/Other,2016,4,8,19,17,9XX W 13TH AVE,fairview,490825.87,5456329.99
Theft from Vehicle,2016,9,15,15,0,1XX W CORDOVA ST,downtown,492223.68,5458921.04
Break and Enter Residential/Other,2016,12,22,9,39,17XX COMMERCIAL DR,grandviewwoodland,494926.76,5457396.19
Theft from Vehicle,2016,4,14,19,30,6XX E 47TH AVE,sunset,493276.28,5452734.1
Break and Enter Residential/Other,2016,11,26,15,0,9XX W 14TH AVE,fairview,490855.87,5456227.18
Theft from Vehicle,2016,4,20,21,0,22XX ETON ST,grandviewwoodland,495752.35,5459424.68
Break and Enter Residential/Other,2016,11,12,22,30,9XX W 15TH AVE,fairview,490901.77,5456116.04
Theft from Vehicle,2016,3,11,18,0,22XX ETON ST,grandviewwoodland,495739.32,5459424.78
Theft from Vehicle,2016,10,31,22,0,COLUMBIA ST / W 1ST AVE,mountpleasant,492041.29,5457516.26
Break and Enter Residential/Other,2016,6,6,4,33,9XX W 16TH AVE,fairview,490860.25,5456048.08
Break and Enter Commercial,2016,7,2,1,13,28XX W 4TH AVE,kitsilano,487639.37,5457303.12
Break and Enter Residential/Other,2016,3,22,8,0,9XX W 16TH AVE,fairview,490931.43,5456046.14
Break and Enter Residential/Other,2016,10,23,15,0,9XX W 18TH AVE,southcambie,490875.2,5455847.95
Theft from Vehicle,2016,10,15,20,0,6XX E 31ST AVE,rileypark,493333.86,5454435.24
Break and Enter Residential/Other,2016,11,28,11,18,9XX W 19TH AVE,southcambie,490891.1,5455746.28
Break and Enter Commercial,2016,3,27,11,32,28XX W 4TH AVE,kitsilano,487620.71,5457303.59
Other Theft,2016,5,27,19,56,8X W PENDER ST,downtown,492208.56,5458693
Theft from Vehicle,2016,6,29,0,52,22XX ETON ST,grandviewwoodland,495726.29,5459424.88
Other Theft,2016,5,21,21,13,8X W PENDER ST,downtown,492208.56,5458693
Vehicle Collision or Pedestrian Struck (with Injury),2016,9,21,18,9,ABBOTT ST / W PENDER ST,downtown,492175,5458706
Other Theft,2016,8,24,21,56,28XX E 1ST AVE,hastingssunrise,496590.75,5457399.76
Break and Enter Residential/Other,2016,2,18,18,0,9XX W 20TH AVE,southcambie,490745.26,5455642.86
Vehicle Collision or Pedestrian Struck (with Injury),2016,12,24,3,49,ABBOTT ST / W PENDER ST,downtown,492175,5458706
Theft from Vehicle,2016,9,28,9,0,1XX W CORDOVA ST,downtown,492226.53,5458910.82
Theft from Vehicle,2016,1,25,19,0,6XX E 29TH AVE,rileypark,493343.28,5454643.78
Theft from Vehicle,2016,6,16,18,0,6XX E 29TH AVE,rileypark,493291.93,5454653.38
Theft from Vehicle,2016,11,7,6,28,1XX W CORDOVA ST,downtown,492226.53,5458910.82
Theft from Vehicle,2016,4,27,2,52,12XX W 8TH AVE,fairview,490380.39,5456853.33
Theft from Vehicle,2016,11,11,0,0,1XX W CORDOVA ST,downtown,492226.53,5458910.82
Theft from Vehicle,2016,9,1,7,6,12XX W 8TH AVE,fairview,490390.08,5456862.3
Break and Enter Residential/Other,2016,9,18,3,30,9XX W 22ND AVE,southcambie,490739.33,5455450.86
Theft from Vehicle,2016,3,5,3,8,6XX E 28TH AVE,rileypark,493292.26,5454755.92
Break and Enter Residential/Other,2016,11,21,21,43,9XX W 57TH AVE,marpole,490744.78,5451825.44
Theft from Vehicle,2016,10,29,7,47,22XX ETON ST,grandviewwoodland,495713.59,5459416.66
Break and Enter Commercial,2016,4,14,11,13,28XX POINT GREY RD,kitsilano,487686.77,5457606.41
Other Theft,2016,5,18,19,24,8X W PENDER ST,downtown,492208.56,5458693
Break and Enter Commercial,2016,2,13,2,0,28XX MAIN ST,mountpleasant,492655.11,5456375.47
Vehicle Collision or Pedestrian Struck (with Injury),2016,4,13,8,52,ADANAC ST / MCLEAN DR,grandviewwoodland,494607,5458322
Break and Enter Commercial,2016,1,27,4,0,28XX MAIN ST,mountpleasant,492640.23,5456361.21
Break and Enter Residential/Other,2016,6,11,9,29,9XX W 33RD AVE,southcambie,490744.63,5454305.22
Theft from Vehicle,2016,4,29,6,0,6XX E 20TH AVE,rileypark,493342.34,5455562.34
Break and Enter Residential/Other,2016,1,22,16,30,9XX W 33RD AVE,southcambie,490881.74,5454296.63
Theft from Vehicle,2016,6,22,22,30,20XX CREELMAN AVE,kitsilano,489075.14,5457976.94
Other Theft,2016,5,17,19,4,8X W PENDER ST,downtown,492208.56,5458693
Other Theft,2016,12,12,19,39,28XX BENTALL ST,renfrewcollingwood,497676.53,5456177.01
Other Theft,2016,9,20,15,2,28XX BENTALL ST,renfrewcollingwood,497676.53,5456177.01
Break and Enter Commercial,2016,8,9,21,0,28XX MAIN ST,mountpleasant,492635.19,5456385.01
Other Theft,2016,9,8,18,29,28XX BENTALL ST,renfrewcollingwood,497676.53,5456177.01
Other Theft,2016,12,8,12,19,28XX BENTALL ST,renfrewcollingwood,497676.51,5456180.53
Other Theft,2016,9,19,17,44,28XX BENTALL ST,renfrewcollingwood,497676.51,5456180.53
Other Theft,2016,9,12,15,0,28XX BENTALL ST,renfrewcollingwood,497676.51,5456180.53
Break and Enter Commercial,2016,3,8,23,54,28XX KINGSWAY AVE,renfrewcollingwood,496543.12,5453799.36
Vehicle Collision or Pedestrian Struck (with Injury),2016,10,17,10,54,ADANAC ST / NANAIMO ST,grandviewwoodland,495885,5458303
Break and Enter Commercial,2016,1,14,2,5,28XX HEATHER ST,fairview,491277,5456396.3
Other Theft,2016,9,4,13,40,28XX BENTALL ST,renfrewcollingwood,497676.51,5456180.53
Theft from Vehicle,2016,2,7,0,0,6XX E 18TH AVE,rileypark,493357.83,5455763.78
Break and Enter Commercial,2016,5,13,2,55,28XX GRANVILLE ST,fairview,489912.19,5456423.94
Theft from Vehicle,2016,4,26,18,0,12XX W 8TH AVE,fairview,490437.58,5456852.3
Other Theft,2016,5,10,9,49,8X W PENDER ST,downtown,492208.56,5458693
Theft from Vehicle,2016,6,16,19,0,6XX E 18TH AVE,rileypark,493318.48,5455764.51
Theft from Vehicle,2016,2,3,23,30,6XX E 17TH AVE,rileypark,493332.59,5455874.61
Other Theft,2016,7,1,21,9,7XX GRANVILLE ST,downtown,491295.24,5458744.77
Break and Enter Residential/Other,2016,2,8,16,54,9XX W 43RD AVE,oakridge,490715.39,5453257.27
Theft from Vehicle,2016,11,15,11,27,12XX W BROADWAY AVE,fairview,490299.3,5456763.15
Theft from Vehicle,2016,8,9,15,0,22XX E HASTINGS ST,grandviewwoodland,495678.39,5458719.49
Theft from Vehicle,2016,7,3,13,2,6XX E 16TH AVE,rileypark,493446.8,5455959.34
Break and Enter Residential/Other,2016,6,9,9,45,9XX W 49TH AVE,oakridge,490720.07,5452649.16
Theft of Vehicle,2016,7,4,22,30,23XX KEITH DR,mountpleasant,494227.01,5456829.97
Vehicle Collision or Pedestrian Struck (with Injury),2016,2,14,20,47,ALBERNI ST / BIDWELL ST,westend,490342,5459832
Break and Enter Residential/Other,2016,8,24,15,0,9XX W 52ND AVE,oakridge,490679.4,5452359.18
Theft from Vehicle,2016,8,5,16,0,22XX E HASTINGS ST,grandviewwoodland,495678.39,5458719.49
Break and Enter Residential/Other,2016,3,4,0,0,9XX W 57TH AVE,oakridge,490686.39,5451835.9
Theft from Vehicle,2016,12,25,18,0,22XX E HASTINGS ST,grandviewwoodland,495660.36,5458710.41
Other Theft,2016,6,30,14,30,7XX GRANVILLE ST,downtown,491295.24,5458744.77
Other Theft,2016,6,29,15,30,7XX GRANVILLE ST,downtown,491295.24,5458744.77
Break and Enter Residential/Other,2016,9,19,23,55,9XX W BROADWAY AVE,fairview,490812.77,5456740.6
Theft from Vehicle,2016,3,15,0,0,6XX E 16TH AVE,mountpleasant,493356.48,5455970.96
Break and Enter Residential/Other,2016,12,18,13,0,9XX WESTBURY WALK,marpole,490639.22,5451687.62
Break and Enter Residential/Other,2016,6,11,17,0,9XX WESTBURY WALK,marpole,490675.08,5451676.6
Theft from Vehicle,2016,7,10,22,0,6XX E 13TH AVE,mountpleasant,493470.5,5456227.56
Break and Enter Residential/Other,2016,5,31,18,20,10XX W PENDER ST,downtown,491260.6,5459419.16
Break and Enter Residential/Other,2016,5,18,8,4,ADANAC ST / VERNON DR,strathcona,494234.3,5458330.76
Theft from Vehicle,2016,8,1,19,0,E 11TH AVE / FRASER ST,mountpleasant,493511.86,5456432.17
Theft from Vehicle,2016,5,3,14,5,22XX E HASTINGS ST,grandviewwoodland,495660.36,5458710.41
Mischief,2016,2,13,22,7,GRANVILLE ST / SMITHE ST,downtown,491170.93,5458626.04
Break and Enter Residential/Other,2016,7,23,10,49,ASH ST / W 6TH AV,fairview,491457.64,5457016.75
Theft from Vehicle,2016,2,7,14,0,6XX DUNSMUIR ST,downtown,491602.48,5458919.55
Theft from Vehicle,2016,2,6,13,30,22XX E 8TH AVE,grandviewwoodland,495709.23,5456719.29
Break and Enter Commercial,2016,4,15,22,30,41XX MAIN ST,rileypark,492646.77,5455062.83
Theft of Vehicle,2016,9,15,23,30,23XX LAKEWOOD DR,grandviewwoodland,495493.61,5456815.76
Break and Enter Commercial,2016,4,14,17,0,2XX CAMBIE ST,downtown,492083.98,5459044.58
Break and Enter Commercial,2016,3,14,22,0,2XX CAMBIE ST,downtown,492083.98,5459044.58
Break and Enter Commercial,2016,3,10,23,0,2XX CAMBIE ST,downtown,492083.98,5459044.58
Mischief,2016,5,21,8,0,GRANVILLE ST / SMITHE ST,downtown,491170.93,5458626.04
Break and Enter Residential/Other,2016,9,2,13,6,CAMBIE ST / W 30TH AVE,southcambie,491454.36,5454559.78
Other Theft,2016,6,28,13,20,7XX GRANVILLE ST,downtown,491295.24,5458744.77
Other Theft,2016,6,17,14,15,7XX GRANVILLE ST,downtown,491295.24,5458744.77
Other Theft,2016,6,12,15,7,7XX GRANVILLE ST,downtown,491295.24,5458744.77
Other Theft,2016,6,1,16,24,7XX GRANVILLE ST,downtown,491295.24,5458744.77
Other Theft,2016,6,1,16,22,7XX GRANVILLE ST,downtown,491295.24,5458744.77
Other Theft,2016,5,27,16,29,7XX GRANVILLE ST,downtown,491295.24,5458744.77
Other Theft,2016,5,6,13,22,8X W PENDER ST,downtown,492208.56,5458693
Break and Enter Residential/Other,2016,6,4,2,27,DUNDAS ST / N NANAIMO ST,hastingssunrise,495889.22,5459115.67
Break and Enter Commercial,2016,7,25,14,39,2XX CAMBIE ST,downtown,492071.34,5459033.55
Theft from Vehicle,2016,5,6,11,20,6XX DUNSMUIR ST,downtown,491555.59,5458966.5
Theft from Vehicle,2016,5,27,18,0,22XX E 7TH AVE,grandviewwoodland,495710.99,5456826.94
Break and Enter Commercial,2016,6,15,3,9,2XX BURRARD ST,downtown,491602.66,5459485.02
Theft from Vehicle,2016,6,7,23,0,22XX E 7TH AVE,grandviewwoodland,495631.53,5456817.3
Break and Enter Residential/Other,2016,2,27,17,20,12XX CONNAUGHT DR,shaughnessy,490320.97,5454619.36
Mischief,2016,4,21,22,52,GRANVILLE ST / SMITHE ST,downtown,491170.93,5458626.04
Break and Enter Residential/Other,2016,10,23,0,0,34XX PANDORA ST,hastingssunrise,497832.32,5458907.19
Theft from Vehicle,2016,7,9,17,0,CHILCO ST / PENDRELL ST,westend,489552.77,5459689.16
Other Theft,2016,5,6,12,10,8X W PENDER ST,downtown,492208.56,5458693
Break and Enter Residential/Other,2016,4,27,17,20,EAST BLVD / W 54TH AVE,kerrisdale,488978.34,5452127.76
Break and Enter Residential/Other,2016,10,8,12,0,PACIFIC BLVD / QUEBEC ST,downtown,492526.25,5458182.77
Theft of Vehicle,2016,3,15,12,0,23XX MCLEAN DR,grandviewwoodland,494497.37,5456766.59
Theft of Vehicle,2016,7,12,15,0,23XX MCLEAN DR,grandviewwoodland,494497.37,5456766.59
Theft from Vehicle,2016,11,14,10,30,6XX E 11TH AVE,mountpleasant,493432.68,5456437.82
Theft from Vehicle,2016,8,1,19,55,CHILCO ST / PENDRELL ST,westend,489552.77,5459689.16
Theft from Vehicle,2016,2,15,20,30,6XX DENMAN ST,downtown,490323.39,5460036.47
Theft from Vehicle,2016,10,4,20,0,6XX CITADEL PRDE,downtown,491994.88,5458521.02
Theft from Vehicle,2016,8,20,4,0,6XX CITADEL PRDE,downtown,491993.78,5458519.96
Theft from Vehicle,2016,3,15,20,45,6XX CITADEL PRDE,downtown,491993.78,5458519.96
Break and Enter Commercial,2016,11,1,3,21,28XX E BROADWAY AVE,hastingssunrise,496746.49,5456582.4
Vehicle Collision or Pedestrian Struck (with Injury),2016,11,6,16,26,ALBERTA ST / W 7TH AVE,mountpleasant,491932,5456896
Break and Enter Commercial,2016,8,4,19,26,40XX OAK ST,shaughnessy,490715.78,5455214.28
Theft from Vehicle,2016,1,27,18,0,6XX CITADEL PRDE,downtown,491993.78,5458519.96
Break and Enter Residential/Other,2016,2,2,17,0,X KITSILANO BCH,kitsilano,488212.44,5457878.48
Break and Enter Commercial,2016,1,24,5,0,28XX E 2ND AVE,hastingssunrise,496753.89,5457298.77
Theft from Vehicle,2016,2,4,19,0,COLUMBIA ST / W 1ST AVE,mountpleasant,492041.29,5457516.26
Theft from Vehicle,2016,5,17,23,44,E 11TH AVE / PRINCE EDWARD ST,mountpleasant,493002.78,5456439.54
Break and Enter Residential/Other,2016,1,6,11,30,X KITSILANO PT,kitsilano,488944.52,5458194.4
Break and Enter Commercial,2016,5,9,0,0,9X E 14TH AVE,mountpleasant,492479.97,5456194.4
Theft from Vehicle,2016,12,1,9,30,6XX CITADEL PRDE,downtown,491991.71,5458517.98
Break and Enter Commercial,2016,12,16,6,12,28XX E 1ST AVE,hastingssunrise,496594.71,5457399.72
Break and Enter Commercial,2016,3,1,3,24,9X E 11TH AVE,mountpleasant,492485,5456487.22
Theft of Vehicle,2016,2,12,10,14,11XX STATION ST,strathcona,492834.92,5457930.26
Break and Enter Residential/Other,2016,11,20,15,30,17XX DRUMMOND DR,westpointgrey,483919.33,5457655.24
Other Theft,2016,5,16,18,8,7XX GRANVILLE ST,downtown,491295.24,5458744.77
Other Theft,2016,5,12,11,22,7XX GRANVILLE ST,downtown,491295.24,5458744.77
Break and Enter Residential/Other,2016,12,27,20,20,17XX E 12TH AVE,kensingtoncedarcottage,495015.27,5456318.65
Theft from Vehicle,2016,9,6,0,0,E 11TH AVE / PRINCE EDWARD ST,mountpleasant,493002.78,5456439.54
Mischief,2016,8,19,5,30,12XX GRANVILLE ST,downtown,490735.56,5458179.66
Theft from Vehicle,2016,6,1,21,30,6XX CITADEL PRDE,downtown,491991.71,5458517.98
Break and Enter Residential/Other,2016,2,26,7,30,X KITSILANO PT,kitsilano,488944.52,5458194.4
Theft from Vehicle,2016,7,15,16,44,6XX DENMAN ST,westend,490237.83,5459963.42
Theft from Vehicle,2016,4,26,14,0,6XX DENMAN ST,westend,490237.83,5459963.42
Break and Enter Residential/Other,2016,2,29,13,23,X KITSILANO PT,kitsilano,488944.52,5458194.4
Break and Enter Residential/Other,2016,8,22,16,0,X W 18TH AVE,rileypark,492343.28,5455767.21
Break and Enter Residential/Other,2016,9,16,17,0,X W 18TH AVE,rileypark,492343.28,5455767.21
Vehicle Collision or Pedestrian Struck (with Injury),2016,2,18,11,59,ALBERTA ST / W BROADWAY AVE,mountpleasant,491927,5456715
Theft from Vehicle,2016,2,20,6,28,6XX CITADEL PRDE,downtown,491954.51,5458482.24
Theft from Vehicle,2016,9,22,18,16,10XX ALBERNI ST,westend,491058.82,5459123.09
Break and Enter Commercial,2016,5,6,20,30,28XX HEATHER ST,fairview,491266.75,5456366.98
Mischief,2016,12,31,0,45,11XX CAMBIE STREET BRDG,downtown,491486.43,5458077.19
Mischief,2016,1,23,0,30,12XX GRANVILLE ST,downtown,490801.81,5458260.7
Break and Enter Commercial,2016,6,17,12,46,28XX E KENT N AVE,killarney,496393.86,5450398.25
Theft of Vehicle,2016,6,23,21,30,23XX PINE ST,fairview,489577.32,5456966.79
Theft from Vehicle,2016,8,13,12,0,22XX E 53RD AVE,victoriafraserview,495604.79,5452044.69
Theft from Vehicle,2016,7,20,23,30,22XX E 53RD AVE,victoriafraserview,495510.27,5452046.32
Theft from Vehicle,2016,4,27,21,12,12XX W BROADWAY AVE,fairview,490433.55,5456750.68
Theft from Vehicle,2016,12,2,17,0,22XX E 53RD AVE,victoriafraserview,495444.23,5452047.45
Theft from Vehicle,2016,9,10,20,0,12XX W BROADWAY AVE,fairview,490436.97,5456750.6
Break and Enter Commercial,2016,1,3,16,0,28XX E KENT S AVE,killarney,496507.85,5450374.68
Theft from Vehicle,2016,5,27,22,0,22XX E 52ND AVE,victoriafraserview,495526.26,5452161.63
Mischief,2016,7,3,23,8,12XX GRANVILLE ST,downtown,490816.77,5458262.93
Break and Enter Commercial,2016,9,16,3,54,28XX COMMERCIAL DR,kensingtoncedarcottage,494912.28,5456220.92
Break and Enter Commercial,2016,8,22,4,30,28XX COMMERCIAL DR,kensingtoncedarcottage,494912.28,5456220.92
Mischief,2016,1,16,14,16,12XX GRANVILLE ST,downtown,490818.87,5458265.09
Mischief,2016,1,29,20,0,12XX GRANVILLE ST,downtown,490818.87,5458265.09
Theft from Vehicle,2016,5,18,17,0,22XX E 52ND AVE,victoriafraserview,495457.87,5452153.77
Other Theft,2016,5,4,12,35,8X W PENDER ST,downtown,492208.56,5458693
Break and Enter Commercial,2016,10,22,0,23,28XX CAMBIE ST,fairview,491622.76,5456353.7
Other Theft,2016,5,3,13,21,8X W PENDER ST,downtown,492208.56,5458693
Other Theft,2016,4,27,13,25,8X W PENDER ST,downtown,492208.56,5458693
Mischief,2016,4,15,20,15,12XX HAMILTON ST,downtown,491049.01,5457985.12
Theft from Vehicle,2016,7,22,20,30,COLUMBIA ST / W 1ST AVE,mountpleasant,492041.29,5457516.26
Theft from Vehicle,2016,9,16,17,0,E 12TH AVE / MAIN ST,mountpleasant,492639.78,5456386.02
Break and Enter Residential/Other,2016,5,17,20,0,17XX E 15TH AVE,kensingtoncedarcottage,494976.48,5456014.74
Break and Enter Residential/Other,2016,5,26,4,8,17XX E 22ND AVE,kensingtoncedarcottage,494999.74,5455281.41
Theft from Vehicle,2016,2,27,12,50,8X W BROADWAY AVE,mountpleasant,492247.24,5456698.7
Theft from Vehicle,2016,5,29,22,0,11XX JERVIS ST,westend,490236.53,5458948.41
Vehicle Collision or Pedestrian Struck (with Injury),2016,9,5,7,13,ANDERSON ST / W 4TH AVE,fairview,489949,5457241
Theft from Vehicle,2016,10,9,15,0,20XX CREELMAN AVE,kitsilano,488977.66,5457988.79
Other Theft,2016,4,26,14,40,8X W PENDER ST,downtown,492208.56,5458693
Mischief,2016,4,21,21,10,12XX HARWOOD ST,westend,490074.53,5458697.45
Vehicle Collision or Pedestrian Struck (with Injury),2016,4,16,19,13,ARBOR AVE / MATHESON CRES,killarney,498174,5451632
Break and Enter Residential/Other,2016,5,29,1,37,17XX E 22ND AVE,kensingtoncedarcottage,495000.31,5455281.4
Mischief,2016,3,2,17,51,12XX HORNBY ST,downtown,490641.6,5458368.06
Mischief,2016,11,9,6,35,12XX HORNBY ST,downtown,490642.31,5458368.77
Other Theft,2016,4,24,13,58,8X W PENDER ST,downtown,492208.56,5458693
Break and Enter Commercial,2016,6,17,6,48,27XX W BROADWAY AVE,kitsilano,487825.14,5456820.25
Mischief,2016,1,9,21,30,12XX HORNBY ST,downtown,490677.72,5458404.45
Theft from Vehicle,2016,7,1,11,55,22XX E 4TH AVE,grandviewwoodland,495752.24,5457117.58
Break and Enter Commercial,2016,10,4,5,15,5XX E 5TH AVE,mountpleasant,493359.31,5457043.8
Theft of Vehicle,2016,9,15,15,35,11XX UNION ST,strathcona,494088.83,5458285.4
Vehicle Collision or Pedestrian Struck (with Injury),2016,3,16,18,5,ARBUTUS ST / CORNWALL AVE,kitsilano,488899,5457765
Mischief,2016,4,18,20,36,12XX HORNBY ST,downtown,490677.72,5458404.45
Mischief,2016,5,10,0,45,12XX HORNBY ST,downtown,490677.72,5458404.45
Theft from Vehicle,2016,9,11,11,31,22XX E 4TH AVE,grandviewwoodland,495676.77,5457116.69
Other Theft,2016,4,24,7,45,8X W PENDER ST,downtown,492208.56,5458693
Theft of Vehicle,2016,12,16,17,0,11XX UNION ST,strathcona,494175.66,5458292.19
Theft of Vehicle,2016,3,24,9,0,23XX TRINITY ST,grandviewwoodland,495870.12,5459624.02
Other Theft,2016,4,23,9,5,8X W PENDER ST,downtown,492208.56,5458693
Theft from Vehicle,2016,9,28,7,30,22XX E 49TH AVE,victoriafraserview,495526.7,5452475.98
Theft of Vehicle,2016,11,17,2,0,23XX TURNER ST,grandviewwoodland,495806.9,5458480.89
Other Theft,2016,4,18,11,1,8X W PENDER ST,downtown,492208.56,5458693
Vehicle Collision or Pedestrian Struck (with Injury),2016,10,2,19,45,ARBUTUS ST / W 10TH AVE,kitsilano,488870,5456688
Mischief,2016,1,23,8,27,12XX HOWE ST,downtown,490650.1,5458241.19
Theft from Vehicle,2016,3,29,18,30,ALBERNI ST / CARDERO ST,westend,490457.17,5459718.86
Other Theft,2016,4,13,11,51,8X W PENDER ST,downtown,492208.56,5458693
Vehicle Collision or Pedestrian Struck (with Injury),2016,10,24,23,37,ARBUTUS ST / W 16TH AVE,arbutusridge,488874,5456069
Break and Enter Commercial,2016,4,10,17,13,27XX W 16TH AVE,arbutusridge,487816.23,5456098.65
Theft from Vehicle,2016,4,28,7,55,22XX E 46TH AVE,victoriafraserview,495534.68,5452856.56
Theft from Vehicle,2016,7,29,19,0,20XX CYPRESS ST,kitsilano,489237.99,5457207.34
Other Theft,2016,10,29,19,50,28XX BENTALL ST,renfrewcollingwood,497676.21,5456227.92
Other Theft,2016,10,18,17,20,28XX BENTALL ST,renfrewcollingwood,497676.21,5456227.92
Other Theft,2016,10,15,18,47,28XX BENTALL ST,renfrewcollingwood,497676.21,5456227.92
Other Theft,2016,4,5,14,12,8X W PENDER ST,downtown,492208.56,5458693
Mischief,2016,2,2,6,5,12XX HOWE ST,downtown,490658.62,5458249.73
Other Theft,2016,9,17,19,36,28XX BENTALL ST,renfrewcollingwood,497676.21,5456227.92
Other Theft,2016,7,16,20,48,28XX BENTALL ST,renfrewcollingwood,497676.21,5456227.92
Other Theft,2016,5,6,14,56,7XX GRANVILLE ST,downtown,491295.24,5458744.77
Other Theft,2016,5,5,21,8,7XX GRANVILLE ST,downtown,491295.24,5458744.77
Other Theft,2016,4,5,7,39,8X W PENDER ST,downtown,492208.56,5458693
Other Theft,2016,12,21,14,51,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Other Theft,2016,12,7,19,28,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Other Theft,2016,3,31,8,0,8X W PENDER ST,downtown,492208.56,5458693
Break and Enter Commercial,2016,3,26,6,40,27XX SKEENA ST,renfrewcollingwood,497920.47,5456323.53
Break and Enter Commercial,2016,1,11,16,48,27XX SOPHIA ST,mountpleasant,492852.45,5456415.33
Mischief,2016,7,19,0,0,12XX HOWE ST,downtown,490716.1,5458320.25
Vehicle Collision or Pedestrian Struck (with Injury),2016,5,14,10,4,ARBUTUS ST / W 57TH AVE,kerrisdale,488748,5451876
Vehicle Collision or Pedestrian Struck (with Injury),2016,12,20,22,5,ARBUTUS ST / W 5TH AVE,kitsilano,488882,5457176
Mischief,2016,12,10,17,40,12XX HOWE ST,downtown,490737.42,5458341.6
Other Theft,2016,12,5,22,15,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Other Theft,2016,11,15,19,54,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Other Theft,2016,11,1,19,4,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Other Theft,2016,10,29,10,40,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Other Theft,2016,10,23,18,17,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Other Theft,2016,10,19,16,0,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Other Theft,2016,10,13,17,17,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Mischief,2016,2,23,12,50,12XX HOWE ST,downtown,490746.02,5458337.28
Theft of Vehicle,2016,1,29,21,0,23XX W 1ST AVE,kitsilano,488540.15,5457574.33
Mischief,2016,2,29,13,16,12XX HOWE ST,downtown,490746.02,5458337.28
Other Theft,2016,10,7,10,7,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Mischief,2016,1,6,13,39,12XX GRANVILLE ST,downtown,490747.18,5458204.67
Other Theft,2016,10,5,14,5,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Other Theft,2016,9,18,9,41,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Other Theft,2016,8,26,16,7,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Other Theft,2016,5,1,18,56,7XX GRANVILLE ST,downtown,491295.24,5458744.77
Other Theft,2016,8,21,14,30,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Mischief,2016,7,19,1,40,12XX HOWE ST,downtown,490746.02,5458337.28
Other Theft,2016,8,18,18,40,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Other Theft,2016,8,15,18,25,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Theft from Vehicle,2016,11,21,0,30,6XX CARDERO ST,downtown,490501.98,5459771.6
Theft from Vehicle,2016,11,17,21,0,6XX CARDERO ST,downtown,490501.98,5459771.6
Other Theft,2016,8,7,16,40,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Other Theft,2016,8,3,21,18,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Other Theft,2016,7,18,18,20,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
Other Theft,2016,7,17,9,30,28XX BENTALL ST,renfrewcollingwood,497676.21,5456229.27
